Real,K-AGRUED,LSTM,GRUED,SVR,ARIMA
6789,6734.84,6790.46,6529.7,6531.52,6470.79
7362,6879.7,6878.57,6677.1,6541.75,6330.93
6759,7135.61,7248.36,6827.98,7035.47,7031.32
7031,6778.32,6808.59,6586.66,6535.58,6389.88
6922,6948.17,7015.45,6706.64,6778.22,6687.57
7503,7017.08,7016.69,6798.82,6694.62,6439.35
7249,7363.53,7442.55,7041.85,7192.34,7045.3
7538,7261.63,7289.31,6987.58,6990.74,6746.51
7292,7402.24,7481.53,7080,7240,7069.6
7373,7254.02,7303.51,6977.51,7044.67,6831.51
6739,7153.81,7274.83,6865.6,7121.08,7065.39
6721,6696.59,6761.03,6528.5,6585.96,6466.59
6700,6679.19,6744.7,6516.99,6577.4,6455.42
6861,6704.98,6753.09,6549.22,6565.87,6395.53
7528,6990.98,6988.36,6806.74,6713.85,6391.26
7222,7389.83,7480.7,7088.56,7289.5,7088.92
7481,7241.73,7279.19,6996.16,7039.02,6750.31
7132,7337.57,7434.82,7049.75,7264.33,7071.95
6978,7053.92,7134.87,6829.6,6974.46,6793.82
6860,6914.1,6993.13,6720.23,6846.6,6677.3
7205,6914.9,6949.03,6745.22,6748.34,6476.49
6758,7053.97,7166.31,6824.38,7054.08,6918.23
6438,6649.21,6751.9,6503.16,6667.4,6567.63
6734,6484.22,6527.26,6401.01,6383.8,6165.01
6540,6657.94,6749.73,6520.8,6654.11,6518.26
6962,6618.82,6650.48,6520.14,6483.08,6214.66
6805,6893.14,6982.03,6719,6863.97,6676.29
6517,6705.98,6809.42,6562.42,6727.72,6594.2
6999,6611.54,6639.65,6523.07,6470.58,6180.7
7580,7114.89,7132.56,6941.27,6905.9,6516.4
7415,7487.2,7578.3,7219.46,7410.77,7083.9
6515,7147.34,7313.68,6908.66,7273.47,7163.99
6811,6563.4,6613.36,6482.73,6475.93,6222.83
6371,6674.71,6798.63,6543,6746.02,6631.75
7216,6555.57,6552.41,6504.49,6345.33,5968.54
6495,7000.91,7154.17,6805,7108.64,6983.98
6680,6515.17,6579.54,6445.02,6460.24,6230.24
6901,6709.08,6770.66,6608.19,6629.88,6362.99
7932,7130.36,7111.82,6993.68,6830.35,6322.3
7651,7784.45,7897.16,7491.29,7721.65,7299.26
6745,7367.28,7544.26,7117.17,7487.63,7293.7
6836,6739.64,6817.92,6635.05,6687.22,6437.37
6401,6697.71,6829.68,6579.9,6769.05,6633.94
6603,6422.46,6490.76,6378.98,6366.81,6139.73
6678,6592.51,6674.87,6516.65,6552.23,6327.82
7435,6837.03,6852.32,6750.44,6619.31,6212.19
6984,7271.97,7411.11,7069.93,7297.65,7033.13
6813,6905.25,7016.37,6773.62,6894.25,6661.93
6958,6815.17,6895.08,6712.06,6735.73,6458.1
6409,6783.16,6934.16,6659.45,6865.18,6732.82
6612,6426.12,6499.95,6389.42,6354.38,6130.62
6396,6522.84,6640.67,6455.6,6539.99,6390.78
6711,6439.39,6503.52,6406.65,6334.15,6087.37
7399,6844.64,6874.64,6765.07,6623.66,6233.81
7552,7377.58,7466.81,7200.72,7243.51,6834.57
6955,7333.19,7499.69,7138.18,7374.05,7111.96
7053,6932.41,7026.52,6821.89,6834.6,6548.25
7346,7074.78,7151.4,6952.26,6919.12,6563.86
7474,7313.41,7410.29,7153.09,7178.34,6793.63
6406,7133.83,7352.75,6959.1,7286.91,7168.11
6665,6425.05,6456.13,6296.82,6200.29,6106.77
7177,6743.68,6749.24,6565.6,6434.96,6251.76
7413,7170.39,7200.88,6896.39,6881.42,6697.47
7171,7275.92,7352.68,6961.89,7088.08,6977.15
6600,6966.8,7079.21,6699.13,6896.63,6900.92
7044,6668.22,6683.23,6513,6415.87,6230.45
6261,6795.57,6931.38,6556.73,6808.11,6870.59
5954,6146.2,6238.62,6064.41,6133.64,6150.24
6902,6152.71,6120.59,6136.64,5866.94,5578.36
6628,6789.75,6877.53,6585.39,6712.24,6648.03
7037,6692.76,6714.37,6544.01,6481.09,6272.82
7353,7071.1,7100.37,6846.34,6844.52,6601.49
7069,7225.6,7313.28,6946.27,7120.73,6968.14
6399,6858.23,6987.32,6632.63,6887.1,6873.73
