Real,K-AGRUED,GRUED,LSTM,SVR,ARIMA
6789,6352.9,6769.1,6690.28,6661.31,5896.91
7362,6412.23,6773.46,6694.85,6529.52,5656.29
6759,6698.37,7308.83,7202.58,7330.98,6335.18
7031,6364.59,6753.31,6676.52,6600.19,5818.79
6922,6522.09,7014.34,6923.86,6947.48,6069.1
7503,6515.91,6916.18,6831.14,6689.82,5749.99
7249,6840.47,7455.36,7345.22,7414.67,6273.25
7538,6721.71,7229.5,7129.78,7073.36,5987.14
7292,6870.39,7495.94,7385.42,7467.43,6307.45
7373,6735.51,7277.39,7176.37,7185.72,6120.74
6739,6722.71,7355.56,7251.68,7446.4,6475.16
6721,6335.09,6762.81,6685.99,6731.44,6073.65
6700,6323.24,6748.41,6672.13,6723.78,6086.41
6861,6327.6,6730.91,6655.24,6666.6,6015.14
7528,6496.99,6889.42,6806.18,6698.41,5837.14
7222,6874.25,7514.82,7407.3,7553.97,6431.04
7481,6718.57,7237.28,7139.69,7149.68,6126.26
7132,6841.65,7478.76,7373.2,7543.53,6467.28
6978,6616.76,7158.43,7063.9,7187.47,6320.7
6860,6511.1,7014.58,6925.31,7042.32,6286.18
7205,6472.97,6903.19,6817.93,6821.4,6067.13
6758,6644.67,7234.26,7137.18,7351.58,6507.38
6438,6334.12,6807.72,6725.3,6901.12,6372.73
6734,6158.24,6492.95,6422.15,6437.73,6044.28
6540,6331.27,6787.27,6704.56,6856.14,6337.98
6962,6249.24,6596.99,6520.5,6514.74,6035.32
6805,6505.1,7011.54,6920.6,7078.74,6392.35
6517,6377.63,6860.28,6773.52,6962.2,6433.22
6999,6240.43,6576.77,6498.46,6485.82,6043.35
7580,6609.46,7050.22,6957.25,6943.67,6104.24
7415,6952.49,7595.29,7491.73,7690.09,6558.79
6515,6763.97,7444.78,7343.59,7724.56,6870.75
6811,6223.12,6576.43,6494.43,6537.89,6177.38
6371,6372.45,6869.4,6779.04,7024.01,6575.94
7216,6169.59,6431.97,6351.9,6254.31,5928.1
6495,6643.71,7259.76,7161.45,7503.14,6797.96
6680,6199.08,6555.86,6470.43,6547.61,6272.05
6901,6343.24,6739.52,6649.21,6729.74,6300.85
7932,6590.21,6956.01,6861.26,6754.39,5986.56
7651,7197.24,7912.86,7813.73,8091.31,6756.37
6745,6940.91,7661.63,7561.88,7986.88,7003.05
6836,6381.25,6800.46,6706.12,6828.48,6414.82
6401,6397.43,6888.74,6792.68,7053.71,6677.48
6603,6131.33,6455.2,6363.95,6436.67,6327.76
6678,6273.34,6655.8,6560.82,6679.39,6429.79
7435,6398.76,6728.63,6632.05,6585.77,6145.7
6984,6837.81,7455.97,7357.5,7668.95,6818.15
6813,6536.39,7025.01,6925.65,7134.86,6632.05
6958,6440.32,6856.05,6756.56,6873.75,6472.51
6409,6479.84,6995.52,6895.36,7197.41,6816.65
6612,6138.37,6450.24,6350.75,6421.88,6402.34
6396,6252.29,6650.48,6549.2,6739.74,6632.36
6711,6139.5,6432.3,6330.52,6370.97,6369.77
7399,6418.15,6743.19,6640.29,6611.12,6259.18
7552,6875.59,7403.75,7306.34,7468.37,6605.98
6955,6910.97,7543.18,7448.58,7810.68,6970.94
7053,6543.2,6973.16,6869.99,7005.83,6585.77
7346,6635.83,7064.76,6962.33,7056.86,6519.51
7474,6835.09,7340.96,7243.06,7403.98,6639.77
6406,6808.32,7457.39,7362.29,7832.67,7200.9
6665,6103.04,6401.94,6344.84,6255.96,5692.65
7177,6317.35,6655.39,6583.54,6434.82,5655.2
7413,6654.31,7140.38,7042.45,6963.87,5914.71
7171,6772.12,7359.87,7251.92,7296.89,6200.6
6600,6574.22,7144.31,7047.26,7185.1,6309.09
7044,6270.55,6608.17,6539.82,6434.1,5738.76
6261,6468.19,7035.03,6944.22,7150.04,6407.58
5954,5949.31,6282.55,6232.36,6326.5,6034.82
6902,5846.27,5978.96,5945.71,5731.69,5420.89
