Real,K-AGRUED,GRUED,LSTM,ARIMA
16,13.2222,20.2767,17.3374,15.8307
18,14.8024,21.6929,18.9281,17.513
17,14.035,21.1276,18.2477,17.0309
19,14.505,21.3446,18.4363,17.0857
24,15.6723,22.4039,19.0277,17.1811
18,17.2142,24.2587,22.058,21.765
31,18.3052,24.1853,20.8928,18.5434
29,21.2169,28.0083,25.0426,23.9566
30,24.3553,30.0264,28.5272,27.9417
20,22.6409,29.0059,28.3087,29.3622
32,20.8118,26.2857,23.8406,22.3687
25,21.4698,28.3903,26.1532,26.4913
28,22.6599,28.3077,26.8959,26.8691
32,22.3554,28.4477,25.9188,25.382
51,27.6427,32.642,28.8588,26.1542
23,32.3574,38.6767,39.3048,43.0159
32,27.7801,31.6397,32.4067,33.0311
24,22.0107,28.8206,27.0959,28.6501
44,24.4792,29.3591,26.3391,24.6448
48,30.7304,36.5281,33.1794,32.7109
41,37.1531,41.4618,41.8063,43.8698
15,31.4877,36.6832,39.8447,45.417
29,21.2278,25.952,25.0915,25.61
7,15.6163,23.9568,22.8249,27.1825
24,13.9102,19.6066,17.243,17.5386
5,10.817,19.7767,17.7272,21.9392
12,9.8292,16.4373,14.6502,16.6928
26,8.76944,16.3731,11.5872,11.9038
12,14.0441,22.371,20.3063,24.2611
4,11.6724,18.786,18.4917,22.8112
14,6.03654,13.416,10.2813,12.3137
14,7.18148,15.622,12.0991,14.9834
22,11.3735,18.635,15.3607,17.3256
21,14.2198,21.8654,19.037,22.0354
24,16.6931,23.4945,21.274,24.0442
17,16.4683,23.8232,22.3307,26.5711
24,15.6632,22.1826,20.0572,22.724
17,15.1401,22.8735,20.9353,25.3574
32,16.7722,22.9166,20.0326,21.7553
24,19.2951,26.9942,24.6836,29.1769
13,19.0293,25.6878,26.0388,31.78
7,11.3489,18.631,18.1447,23.6012
8,5.86668,13.748,11.7868,16.6951
12,4.94571,13.1748,10.2844,14.8766
4,5.45361,14.2116,12.3467,18.5809
20,6.11592,13.3809,10.1311,13.4643
29,10.8397,19.1241,14.5862,18.0482
18,17.7567,25.5355,24.1687,30.352
24,17.036,23.3236,22.0839,26.3874
8,13.5194,21.8383,21.1064,28.4977
10,9.4611,16.5037,15.7741,21.4447
25,7.46288,15.2079,11.3902,15.3835
11,11.657,20.6737,18.803,26.254
11,10.8955,17.9764,17.4404,23.591
19,7.68852,15.5877,12.7745,18.1141
28,12.0122,19.8819,16.3493,21.1226
23,17.3396,25.125,23.2191,29.6683
14,16.7862,24.0023,23.9619,31.3266
22,12.809,19.7326,18.082,23.4963
17,12.267,20.6499,18.6829,25.8652
20,16.9729,23.3741,21.0165,19.0818
30,18.1241,24.4511,20.7475,17.4408
22,21.7498,28.4903,26.5602,25.5416
